"","host_gene_id","host_gene_name","mirna_id","mirna_name","host_gene_stable_id","id"
"189","ENSMUSG00000026918.16","Brd3","ENSMUSG00000098812.1","Mir7578","ENSMUSG00000026918","Brd3 (Mir7578)"
"190","ENSMUSG00000026807.8","Ak8","ENSMUSG00000092832.1","Mir3088","ENSMUSG00000026807","Ak8 (Mir3088)"
"191","ENSMUSG00000057738.13","Sptan1","ENSMUSG00000098453.1","Mir6997","ENSMUSG00000057738","Sptan1 (Mir6997)"
"192","ENSMUSG00000026858.18","Miga2","ENSMUSG00000105537.1","Gm47292","ENSMUSG00000026858","Miga2 (Gm47292)"
"193","ENSMUSG00000026843.15","Fubp3","ENSMUSG00000098904.1","Mir6998","ENSMUSG00000026843","Fubp3 (Mir6998)"
"194","ENSMUSG00000001855.15","Nup214","ENSMUSG00000099075.1","Mir7674","ENSMUSG00000001855","Nup214 (Mir7674)"
"195","ENSMUSG00000039262.16","Prrc2b","ENSMUSG00000099155.1","Gm27805","ENSMUSG00000039262","Prrc2b (Gm27805)"
"196","ENSMUSG00000026814.16","Eng","ENSMUSG00000093336.1","Mir1954","ENSMUSG00000026814","Eng (Mir1954)"
"197","ENSMUSG00000026814.16","Eng","ENSMUSG00000105312.1","Gm47291","ENSMUSG00000026814","Eng (Gm47291)"
"198","ENSMUSG00000009566.12","Fpgs","ENSMUSG00000098972.1","Mir8093","ENSMUSG00000009566","Fpgs (Mir8093)"
"199","ENSMUSG00000009555.16","Cdk9","ENSMUSG00000093280.1","Mir2861","ENSMUSG00000009555","Cdk9 (Mir2861)"
"200","ENSMUSG00000009555.16","Cdk9","ENSMUSG00000105841.1","Mir3960","ENSMUSG00000009555","Cdk9 (Mir3960)"
"201","ENSMUSG00000038831.16","Ralgps1","ENSMUSG00000093138.1","Gm25998","ENSMUSG00000038831","Ralgps1 (Gm25998)"
"202","ENSMUSG00000026915.16","Strbp","ENSMUSG00000092958.1","Mir5128","ENSMUSG00000026915","Strbp (Mir5128)"
"203","ENSMUSG00000035392.17","Dennd1a","ENSMUSG00000105046.1","Gm44455","ENSMUSG00000035392","Dennd1a (Gm44455)"
"204","ENSMUSG00000026750.6","Psmb7","ENSMUSG00000095278.2","Gm27634","ENSMUSG00000026750","Psmb7 (Gm27634)"
"205","ENSMUSG00000049252.17","Lrp1b","ENSMUSG00000098660.1","Mir6336","ENSMUSG00000049252","Lrp1b (Mir6336)"
"206","ENSMUSG00000026872.17","Zeb2","ENSMUSG00000092679.1","Mir5129","ENSMUSG00000026872","Zeb2 (Mir5129)"
"207","ENSMUSG00000034780.6","B3galt1","ENSMUSG00000098299.1","Mir7224","ENSMUSG00000034780","B3galt1 (Mir7224)"
"208","ENSMUSG00000034780.6","B3galt1","ENSMUSG00000098734.1","Mir6335","ENSMUSG00000034780","B3galt1 (Mir6335)"
"209","ENSMUSG00000027109.16","Sp3","ENSMUSG00000092851.1","Gm25960","ENSMUSG00000027109","Sp3 (Gm25960)"
"210","ENSMUSG00000079277.9","Hoxd3","ENSMUSG00000065500.3","Mir10b","ENSMUSG00000079277","Hoxd3 (Mir10b)"
"211","ENSMUSG00000101174.8","Hoxd4","ENSMUSG00000065500.3","Mir10b","ENSMUSG00000101174","Hoxd4 (Mir10b)"
"212","ENSMUSG00000042359.18","Osbpl6","ENSMUSG00000092825.1","Gm23164","ENSMUSG00000042359","Osbpl6 (Gm23164)"
"213","ENSMUSG00000044033.16","Ccdc141","ENSMUSG00000105724.1","Gm44360","ENSMUSG00000044033","Ccdc141 (Gm44360)"
"214","ENSMUSG00000040591.18","1110051M20Rik","ENSMUSG00000080507.2","Gm22071","ENSMUSG00000040591","1110051M20Rik (Gm22071)"
"215","ENSMUSG00000040479.11","Dgkz","ENSMUSG00000098651.1","Mir6999","ENSMUSG00000040479","Dgkz (Mir6999)"
"216","ENSMUSG00000058318.15","Phf21a","ENSMUSG00000088639.1","Mir1955","ENSMUSG00000058318","Phf21a (Mir1955)"
"217","ENSMUSG00000027223.15","Mapk8ip1","ENSMUSG00000099093.1","Mir7000","ENSMUSG00000027223","Mapk8ip1 (Mir7000)"
"218","ENSMUSG00000027215.13","Cd82","ENSMUSG00000099238.1","Mir7001","ENSMUSG00000027215","Cd82 (Mir7001)"
"219","ENSMUSG00000075020.6","Mir670hg","ENSMUSG00000093033.1","Gm23630","ENSMUSG00000075020","Mir670hg (Gm23630)"
"220","ENSMUSG00000075020.6","Mir670hg","ENSMUSG00000065511.1","Mir129-2","ENSMUSG00000075020","Mir670hg (Mir129-2)"
"221","ENSMUSG00000075020.6","Mir670hg","ENSMUSG00000076335.1","Mir670","ENSMUSG00000075020","Mir670hg (Mir670)"
"222","ENSMUSG00000081275.1","Gm13875","ENSMUSG00000076234.1","Gm22757","ENSMUSG00000081275","Gm13875 (Gm22757)"
"223","ENSMUSG00000082845.1","Gm13879","ENSMUSG00000076233.1","Gm22761","ENSMUSG00000082845","Gm13879 (Gm22761)"
"224","ENSMUSG00000027177.14","Hipk3","ENSMUSG00000084516.1","Mir1902","ENSMUSG00000027177","Hipk3 (Mir1902)"
"225","ENSMUSG00000057234.9","Mettl15","ENSMUSG00000076987.1","Gm24115","ENSMUSG00000057234","Mettl15 (Gm24115)"
"226","ENSMUSG00000003604.14","Aven","ENSMUSG00000105420.1","Gm44374","ENSMUSG00000003604","Aven (Gm44374)"
"227","ENSMUSG00000040383.16","Aqr","ENSMUSG00000098464.1","Mir7002","ENSMUSG00000040383","Aqr (Mir7002)"
"228","ENSMUSG00000040282.13","BC052040","ENSMUSG00000088606.1","Mir1951","ENSMUSG00000040282","BC052040 (Mir1951)"
"229","ENSMUSG00000027344.14","Fsip1","ENSMUSG00000093368.1","Gm22800","ENSMUSG00000027344","Fsip1 (Gm22800)"
"230","ENSMUSG00000033902.12","Mapkbp1","ENSMUSG00000098632.1","Mir7665","ENSMUSG00000033902","Mapkbp1 (Mir7665)"
"231","ENSMUSG00000046110.15","Serinc4","ENSMUSG00000080374.1","Gm22953","ENSMUSG00000046110","Serinc4 (Gm22953)"
"232","ENSMUSG00000027236.8","Eif3j1","ENSMUSG00000104603.1","Gm47314","ENSMUSG00000027236","Eif3j1 (Gm47314)"
"233","ENSMUSG00000033213.16","AA467197","ENSMUSG00000076309.2","Mir147","ENSMUSG00000033213","AA467197 (Mir147)"
"234","ENSMUSG00000027366.12","Sppl2a","ENSMUSG00000098896.1","Mir3473g","ENSMUSG00000027366","Sppl2a (Mir3473g)"
"235","ENSMUSG00000001998.15","Ap4e1","ENSMUSG00000092918.1","Gm24081","ENSMUSG00000001998","Ap4e1 (Gm24081)"
"236","ENSMUSG00000027380.10","Acoxl","ENSMUSG00000093203.1","Gm22411","ENSMUSG00000027380","Acoxl (Gm22411)"
"237","ENSMUSG00000027316.15","Gfra4","ENSMUSG00000098686.1","Mir6973b","ENSMUSG00000027316","Gfra4 (Mir6973b)"
"238","ENSMUSG00000037514.17","Pank2","ENSMUSG00000065563.1","Mir103-2","ENSMUSG00000037514","Pank2 (Mir103-2)"
"239","ENSMUSG00000001768.16","Rin2","ENSMUSG00000092758.1","Gm25026","ENSMUSG00000001768","Rin2 (Gm25026)"
"240","ENSMUSG00000027469.16","Tpx2","ENSMUSG00000093746.1","Mir5622","ENSMUSG00000027469","Tpx2 (Mir5622)"
"241","ENSMUSG00000074652.3","Myh7b","ENSMUSG00000076312.1","Mir499","ENSMUSG00000074652","Myh7b (Mir499)"
"242","ENSMUSG00000038085.13","Cnbd2","ENSMUSG00000076231.1","Gm22759","ENSMUSG00000038085","Cnbd2 (Gm22759)"
"243","ENSMUSG00000081751.1","Gm14251","ENSMUSG00000076231.1","Gm22759","ENSMUSG00000081751","Gm14251 (Gm22759)"
"244","ENSMUSG00000061272.8","Gm14173","ENSMUSG00000076230.1","Gm22758","ENSMUSG00000061272","Gm14173 (Gm22758)"
"245","ENSMUSG00000067787.10","Blcap","ENSMUSG00000077990.1","Gm23134","ENSMUSG00000067787","Blcap (Gm23134)"
"246","ENSMUSG00000037761.16","Actr5","ENSMUSG00000093120.1","Mir3474","ENSMUSG00000037761","Actr5 (Mir3474)"
"247","ENSMUSG00000037754.13","Ppp1r16b","ENSMUSG00000093040.1","Gm26141","ENSMUSG00000037754","Ppp1r16b (Gm26141)"
"248","ENSMUSG00000017861.11","Mybl2","ENSMUSG00000099091.1","Mir7003","ENSMUSG00000017861","Mybl2 (Mir7003)"
"249","ENSMUSG00000017002.14","Slpi","ENSMUSG00000098489.1","Mir7678","ENSMUSG00000017002","Slpi (Mir7678)"
"250","ENSMUSG00000089739.2","Gm20431","ENSMUSG00000093476.1","Gm22355","ENSMUSG00000089739","Gm20431 (Gm22355)"
"251","ENSMUSG00000090213.1","Tmem189","ENSMUSG00000093476.1","Gm22355","ENSMUSG00000090213","Tmem189 (Gm22355)"
"252","ENSMUSG00000027546.15","Atp9a","ENSMUSG00000105496.1","Mir7004","ENSMUSG00000027546","Atp9a (Mir7004)"
"253","ENSMUSG00000015647.9","Lama5","ENSMUSG00000098735.1","Mir7005","ENSMUSG00000015647","Lama5 (Mir7005)"
"254","ENSMUSG00000039001.12","Rps21","ENSMUSG00000092827.1","Mir3091","ENSMUSG00000039001","Rps21 (Mir3091)"
"255","ENSMUSG00000000823.16","Zfp512b","ENSMUSG00000098824.1","Mir7006","ENSMUSG00000000823","Zfp512b (Mir7006)"
"256","ENSMUSG00000017688.14","Hnf4g","ENSMUSG00000077829.1","Gm23237","ENSMUSG00000017688","Hnf4g (Gm23237)"
"257","ENSMUSG00000100252.6","Mir124-2hg","ENSMUSG00000093073.1","Mir124a-2","ENSMUSG00000100252","Mir124-2hg (Mir124a-2)"
"258","ENSMUSG00000001865.2","Cpa3","ENSMUSG00000099105.1","Mir7007","ENSMUSG00000001865","Cpa3 (Mir7007)"
"259","ENSMUSG00000039286.12","Fndc3b","ENSMUSG00000092695.1","Mir3092","ENSMUSG00000039286","Fndc3b (Mir3092)"
"260","ENSMUSG00000027692.16","Tnik","ENSMUSG00000092990.1","Mir466q","ENSMUSG00000027692","Tnik (Mir466q)"
"261","ENSMUSG00000063600.14","Egfem1","ENSMUSG00000076120.1","Mir551b","ENSMUSG00000063600","Egfem1 (Mir551b)"
"262","ENSMUSG00000063600.14","Egfem1","ENSMUSG00000098315.1","Mir21b","ENSMUSG00000063600","Egfem1 (Mir21b)"
"263","ENSMUSG00000037643.14","Prkci","ENSMUSG00000098890.1","Mir7008","ENSMUSG00000037643","Prkci (Mir7008)"
"264","ENSMUSG00000105265.4","Sox2ot","ENSMUSG00000104797.1","Mir1897","ENSMUSG00000105265","Sox2ot (Mir1897)"
"265","ENSMUSG00000084530.2","RF01953","ENSMUSG00000104797.1","Mir1897","ENSMUSG00000084530","RF01953 (Mir1897)"
"266","ENSMUSG00000027712.13","Anxa5","ENSMUSG00000098808.1","Mir7009","ENSMUSG00000027712","Anxa5 (Mir7009)"
"267","ENSMUSG00000034349.14","Smc4","ENSMUSG00000065580.2","Mir15b","ENSMUSG00000034349","Smc4 (Mir15b)"
"268","ENSMUSG00000034349.14","Smc4","ENSMUSG00000065606.1","Mir16-2","ENSMUSG00000034349","Smc4 (Mir16-2)"
"269","ENSMUSG00000103428.1","Gm20754","ENSMUSG00000077050.1","Gm24544","ENSMUSG00000103428","Gm20754 (Gm24544)"
"270","ENSMUSG00000033981.14","Gria2","ENSMUSG00000093226.1","Gm25749","ENSMUSG00000033981","Gria2 (Gm25749)"
"271","ENSMUSG00000033910.13","Gucy1a1","ENSMUSG00000098712.1","Mir7010","ENSMUSG00000033910","Gucy1a1 (Mir7010)"
"272","ENSMUSG00000097156.7","Gm3764","ENSMUSG00000092988.1","Mir3093","ENSMUSG00000097156","Gm3764 (Mir3093)"
"273","ENSMUSG00000097156.7","Gm3764","ENSMUSG00000106493.1","Mir9-1","ENSMUSG00000097156","Gm3764 (Mir9-1)"
"274","ENSMUSG00000028064.17","Sema4a","ENSMUSG00000098655.1","Mir7011","ENSMUSG00000028064","Sema4a (Mir7011)"
"275","ENSMUSG00000042520.16","Ubap2l","ENSMUSG00000098397.1","Mir7669","ENSMUSG00000042520","Ubap2l (Mir7669)"
"276","ENSMUSG00000042404.16","Dennd4b","ENSMUSG00000099199.1","Mir7012","ENSMUSG00000042404","Dennd4b (Mir7012)"
"277","ENSMUSG00000102476.1","Gm37245","ENSMUSG00000076037.1","Gm22752","ENSMUSG00000102476","Gm37245 (Gm22752)"
"278","ENSMUSG00000038861.14","Pi4kb","ENSMUSG00000099033.1","Mir7013","ENSMUSG00000038861","Pi4kb (Mir7013)"
"279","ENSMUSG00000028108.15","Ecm1","ENSMUSG00000098737.1","Mir7014","ENSMUSG00000028108","Ecm1 (Mir7014)"
"280","ENSMUSG00000093577.1","Gm20632","ENSMUSG00000106587.1","Gm47311","ENSMUSG00000093577","Gm20632 (Gm47311)"
"281","ENSMUSG00000093553.1","Gm20633","ENSMUSG00000105610.1","Gm47313","ENSMUSG00000093553","Gm20633 (Gm47313)"
"282","ENSMUSG00000038170.15","Pde4dip","ENSMUSG00000098381.1","Mir7225","ENSMUSG00000038170","Pde4dip (Mir7225)"
"283","ENSMUSG00000028007.13","Snx7","ENSMUSG00000093054.1","Gm24811","ENSMUSG00000028007","Snx7 (Gm24811)"
"284","ENSMUSG00000097311.7","Gm26871","ENSMUSG00000065569.2","Mir137","ENSMUSG00000097311","Gm26871 (Mir137)"
"285","ENSMUSG00000097311.7","Gm26871","ENSMUSG00000093000.1","Gm24155","ENSMUSG00000097311","Gm26871 (Gm24155)"
"286","ENSMUSG00000057359.7","Gm17494","ENSMUSG00000076456.1","Mir760","ENSMUSG00000057359","Gm17494 (Mir760)"
"287","ENSMUSG00000039735.15","Fnbp1l","ENSMUSG00000104773.1","Mir7657","ENSMUSG00000039735","Fnbp1l (Mir7657)"
"288","ENSMUSG00000028116.13","Myoz2","ENSMUSG00000076949.1","Gm22066","ENSMUSG00000028116","Myoz2 (Gm22066)"
"289","ENSMUSG00000028017.7","Egf","ENSMUSG00000092701.1","Gm24515","ENSMUSG00000028017","Egf (Gm24515)"
"290","ENSMUSG00000097911.2","Gm26691","ENSMUSG00000106130.1","Gm44361","ENSMUSG00000097911","Gm26691 (Gm44361)"
"291","ENSMUSG00000097911.2","Gm26691","ENSMUSG00000084564.1","Mir1895","ENSMUSG00000097911","Gm26691 (Mir1895)"
"292","ENSMUSG00000028156.12","Eif4e","ENSMUSG00000088373.3","Mir1956","ENSMUSG00000028156","Eif4e (Mir1956)"
"293","ENSMUSG00000028180.18","Zranb2","ENSMUSG00000065431.1","Mir186","ENSMUSG00000028180","Zranb2 (Mir186)"
"294","ENSMUSG00000028223.8","Decr1","ENSMUSG00000098929.1","Mir6400","ENSMUSG00000028223","Decr1 (Mir6400)"
"295","ENSMUSG00000041135.15","Ripk2","ENSMUSG00000092795.2","Gm22690","ENSMUSG00000041135","Ripk2 (Gm22690)"
"296","ENSMUSG00000028274.17","Rngtt","ENSMUSG00000098310.1","Mir8118","ENSMUSG00000028274","Rngtt (Mir8118)"
"297","ENSMUSG00000045083.14","Lingo2","ENSMUSG00000077851.1","Mir876","ENSMUSG00000045083","Lingo2 (Mir876)"
"298","ENSMUSG00000045083.14","Lingo2","ENSMUSG00000078057.1","Mir873a","ENSMUSG00000045083","Lingo2 (Mir873a)"
"299","ENSMUSG00000028410.13","Dnaja1","ENSMUSG00000065452.1","Mir207","ENSMUSG00000028410","Dnaja1 (Mir207)"
"300","ENSMUSG00000028413.13","B4galt1","ENSMUSG00000096377.1","Mir5123","ENSMUSG00000028413","B4galt1 (Mir5123)"
"301","ENSMUSG00000028413.13","B4galt1","ENSMUSG00000094959.1","Gm24112","ENSMUSG00000028413","B4galt1 (Gm24112)"
"302","ENSMUSG00000028413.13","B4galt1","ENSMUSG00000095871.1","Gm25931","ENSMUSG00000028413","B4galt1 (Gm25931)"
"303","ENSMUSG00000028423.15","Nfx1","ENSMUSG00000092862.1","Mir3094","ENSMUSG00000028423","Nfx1 (Mir3094)"
"304","ENSMUSG00000035696.15","Rnf38","ENSMUSG00000092677.1","Mir5106","ENSMUSG00000035696","Rnf38 (Mir5106)"
"305","ENSMUSG00000014030.15","Pax5","ENSMUSG00000092761.1","Mir5120","ENSMUSG00000014030","Pax5 (Mir5120)"
"306","ENSMUSG00000035649.17","Zcchc7","ENSMUSG00000094842.1","Gm22639","ENSMUSG00000035649","Zcchc7 (Gm22639)"
"307","ENSMUSG00000045973.18","Slc25a51","ENSMUSG00000093185.1","Gm25692","ENSMUSG00000045973","Slc25a51 (Gm25692)"
"308","ENSMUSG00000044813.15","Shb","ENSMUSG00000088892.1","Gm22518","ENSMUSG00000044813","Shb (Gm22518)"
"309","ENSMUSG00000028343.10","Erp44","ENSMUSG00000087844.1","Mir1958","ENSMUSG00000028343","Erp44 (Mir1958)"
"310","ENSMUSG00000055296.14","Tmem245","ENSMUSG00000065544.1","Mir32","ENSMUSG00000055296","Tmem245 (Mir32)"
"311","ENSMUSG00000038668.14","Lpar1","ENSMUSG00000093293.1","Mir3095","ENSMUSG00000038668","Lpar1 (Mir3095)"
"312","ENSMUSG00000045672.15","Col27a1","ENSMUSG00000070102.1","Mir455","ENSMUSG00000045672","Col27a1 (Mir455)"
"313","ENSMUSG00000028399.18","Ptprd","ENSMUSG00000092829.1","Gm23159","ENSMUSG00000028399","Ptprd (Gm23159)"
"314","ENSMUSG00000087110.1","Gm11264","ENSMUSG00000092661.1","Gm22402","ENSMUSG00000087110","Gm11264 (Gm22402)"
"315","ENSMUSG00000038368.16","Focad","ENSMUSG00000070077.2","Mir491","ENSMUSG00000038368","Focad (Mir491)"
"316","ENSMUSG00000117123.1","AL805899.1","ENSMUSG00000065408.1","Mir31","ENSMUSG00000117123","AL805899.1 (Mir31)"
"317","ENSMUSG00000008489.18","Elavl2","ENSMUSG00000098563.1","Mir6402","ENSMUSG00000008489","Elavl2 (Mir6402)"
"318","ENSMUSG00000028576.12","Ift74","ENSMUSG00000077921.1","Mir872","ENSMUSG00000028576","Ift74 (Mir872)"
"319","ENSMUSG00000061859.16","Patj","ENSMUSG00000076294.1","Gm26154","ENSMUSG00000061859","Patj (Gm26154)"
"320","ENSMUSG00000067261.4","Foxd3","ENSMUSG00000092763.1","Gm23366","ENSMUSG00000067261","Foxd3 (Gm23366)"
"321","ENSMUSG00000086782.2","E130102H24Rik","ENSMUSG00000065451.1","Mir101a","ENSMUSG00000086782","E130102H24Rik (Mir101a)"
"322","ENSMUSG00000086136.1","Gm12718","ENSMUSG00000094477.1","Gm23064","ENSMUSG00000086136","Gm12718 (Gm23064)"
"323","ENSMUSG00000059195.10","Gm12715","ENSMUSG00000093365.2","Gm22801","ENSMUSG00000059195","Gm12715 (Gm22801)"
"324","ENSMUSG00000053510.12","Nrd1","ENSMUSG00000076444.1","Mir761","ENSMUSG00000053510","Nrd1 (Mir761)"
"325","ENSMUSG00000033423.16","Eri3","ENSMUSG00000087807.1","Gm25559","ENSMUSG00000033423","Eri3 (Gm25559)"
"326","ENSMUSG00000033295.14","Ptprf","ENSMUSG00000098596.1","Mir7226","ENSMUSG00000033295","Ptprf (Mir7226)"
"327","ENSMUSG00000028645.11","Slc2a1","ENSMUSG00000088552.1","Mir1957a","ENSMUSG00000028645","Slc2a1 (Mir1957a)"
"328","ENSMUSG00000032897.17","Nfyc","ENSMUSG00000065490.1","Mir30c-1","ENSMUSG00000032897","Nfyc (Mir30c-1)"
"329","ENSMUSG00000032897.17","Nfyc","ENSMUSG00000065409.1","Mir30e","ENSMUSG00000032897","Nfyc (Mir30e)"
"330","ENSMUSG00000032870.8","Smap2","ENSMUSG00000106436.1","Mir7015","ENSMUSG00000032870","Smap2 (Mir7015)"
"331","ENSMUSG00000028902.4","Sf3a3","ENSMUSG00000076271.1","Mir697","ENSMUSG00000028902","Sf3a3 (Mir697)"
"332","ENSMUSG00000028894.18","Inpp5b","ENSMUSG00000076119.1","Mir698","ENSMUSG00000028894","Inpp5b (Mir698)"
"333","ENSMUSG00000001985.9","Grik3","ENSMUSG00000094403.1","Mir692-2","ENSMUSG00000001985","Grik3 (Mir692-2)"
"334","ENSMUSG00000042489.15","Clspn","ENSMUSG00000098831.1","Mir7119","ENSMUSG00000042489","Clspn (Mir7119)"
"335","ENSMUSG00000000409.14","Lck","ENSMUSG00000099070.1","Mir8119","ENSMUSG00000000409","Lck (Mir8119)"
"336","ENSMUSG00000053730.15","Tmem39b","ENSMUSG00000098422.1","Mir7016","ENSMUSG00000053730","Tmem39b (Mir7016)"
"337","ENSMUSG00000028906.16","Epb41","ENSMUSG00000098577.1","Gm27445","ENSMUSG00000028906","Epb41 (Gm27445)"
"338","ENSMUSG00000028868.13","Wasf2","ENSMUSG00000099202.1","Mir7017","ENSMUSG00000028868","Wasf2 (Mir7017)"
"339","ENSMUSG00000028854.9","Slc9a1","ENSMUSG00000092745.1","Mir5122","ENSMUSG00000028854","Slc9a1 (Mir5122)"
"340","ENSMUSG00000007880.16","Arid1a","ENSMUSG00000104566.1","Mir7227","ENSMUSG00000007880","Arid1a (Mir7227)"
"341","ENSMUSG00000028832.11","Stmn1","ENSMUSG00000092812.1","Gm23634","ENSMUSG00000028832","Stmn1 (Gm23634)"
"342","ENSMUSG00000037306.13","Man1c1","ENSMUSG00000099289.1","Mir6403","ENSMUSG00000037306","Man1c1 (Mir6403)"
"343","ENSMUSG00000059713.12","Rcan3","ENSMUSG00000076123.1","Mir700","ENSMUSG00000059713","Rcan3 (Mir700)"
"344","ENSMUSG00000028763.17","Hspg2","ENSMUSG00000099134.1","Mir7018","ENSMUSG00000028763","Hspg2 (Mir7018)"
"345","ENSMUSG00000028760.16","Eif4g3","ENSMUSG00000098513.1","Mir6399","ENSMUSG00000028760","Eif4g3 (Mir6399)"
"346","ENSMUSG00000028756.12","Pink1","ENSMUSG00000099200.1","Mir7019","ENSMUSG00000028756","Pink1 (Mir7019)"
"347","ENSMUSG00000028756.12","Pink1","ENSMUSG00000098364.1","Gm27646","ENSMUSG00000028756","Pink1 (Gm27646)"
"348","ENSMUSG00000094439.1","Gm21969","ENSMUSG00000098569.1","Mir7020","ENSMUSG00000094439","Gm21969 (Mir7020)"
"349","ENSMUSG00000028737.15","Aldh4a1","ENSMUSG00000098569.1","Mir7020","ENSMUSG00000028737","Aldh4a1 (Mir7020)"
"350","ENSMUSG00000078234.6","Klhdc7a","ENSMUSG00000089294.1","Mir2139","ENSMUSG00000078234","Klhdc7a (Mir2139)"
"351","ENSMUSG00000040945.13","Rcc2","ENSMUSG00000093071.1","Gm25951","ENSMUSG00000040945","Rcc2 (Gm25951)"
"352","ENSMUSG00000057637.13","Prdm2","ENSMUSG00000106597.1","Mir7021","ENSMUSG00000057637","Prdm2 (Mir7021)"
"353","ENSMUSG00000055401.14","Fbxo6","ENSMUSG00000099043.1","Mir7022","ENSMUSG00000055401","Fbxo6 (Mir7022)"
"354","ENSMUSG00000028988.13","Ctnnbip1","ENSMUSG00000093403.1","Mir5616","ENSMUSG00000028988","Ctnnbip1 (Mir5616)"
"355","ENSMUSG00000039936.18","Pik3cd","ENSMUSG00000098580.1","Mir7023","ENSMUSG00000039936","Pik3cd (Mir7023)"
"356","ENSMUSG00000064798.1","n-R5s193","ENSMUSG00000106221.1","Gm47301","ENSMUSG00000064798","n-R5s193 (Gm47301)"
"357","ENSMUSG00000029074.14","Ttll10","ENSMUSG00000065427.1","Mir429","ENSMUSG00000029074","Ttll10 (Mir429)"
"358","ENSMUSG00000029074.14","Ttll10","ENSMUSG00000065400.1","Mir200a","ENSMUSG00000029074","Ttll10 (Mir200a)"
"359","ENSMUSG00000029074.14","Ttll10","ENSMUSG00000065549.3","Mir200b","ENSMUSG00000029074","Ttll10 (Mir200b)"
"360","ENSMUSG00000086549.1","Gm13648","ENSMUSG00000065427.1","Mir429","ENSMUSG00000086549","Gm13648 (Mir429)"
"361","ENSMUSG00000086549.1","Gm13648","ENSMUSG00000065400.1","Mir200a","ENSMUSG00000086549","Gm13648 (Mir200a)"
"362","ENSMUSG00000086549.1","Gm13648","ENSMUSG00000065549.3","Mir200b","ENSMUSG00000086549","Gm13648 (Mir200b)"
"363","ENSMUSG00000078485.3","Plekhn1","ENSMUSG00000098954.1","Mir7658","ENSMUSG00000078485","Plekhn1 (Mir7658)"
"364","ENSMUSG00000014529.9","Tmbim7","ENSMUSG00000093279.1","Gm26238","ENSMUSG00000014529","Tmbim7 (Gm26238)"
"365","ENSMUSG00000028926.15","Cdk14","ENSMUSG00000093159.1","Gm25037","ENSMUSG00000028926","Cdk14 (Gm25037)"
"366","ENSMUSG00000040537.17","Adam22","ENSMUSG00000095290.1","Gm24196","ENSMUSG00000040537","Adam22 (Gm24196)"
"367","ENSMUSG00000056004.16","9330182L06Rik","ENSMUSG00000077896.1","Mir879","ENSMUSG00000056004","9330182L06Rik (Mir879)"
"368","ENSMUSG00000097207.7","6030443J06Rik","ENSMUSG00000105029.1","Gm44363","ENSMUSG00000097207","6030443J06Rik (Gm44363)"
"369","ENSMUSG00000038181.16","Chpf2","ENSMUSG00000076387.1","Mir671","ENSMUSG00000038181","Chpf2 (Mir671)"
"370","ENSMUSG00000010721.15","Lmbr1","ENSMUSG00000093302.1","Gm23801","ENSMUSG00000010721","Lmbr1 (Gm23801)"
"371","ENSMUSG00000059447.13","Hadhb","ENSMUSG00000088113.1","Mir1960","ENSMUSG00000059447","Hadhb (Mir1960)"
"372","ENSMUSG00000029175.17","Slc35f6","ENSMUSG00000093710.1","Mir5625","ENSMUSG00000029175","Slc35f6 (Mir5625)"
"373","ENSMUSG00000029136.9","Rbks","ENSMUSG00000099301.1","Mir3473e","ENSMUSG00000029136","Rbks (Mir3473e)"
"374","ENSMUSG00000029111.7","Nelfa","ENSMUSG00000098830.1","Mir7024","ENSMUSG00000029111","Nelfa (Mir7024)"
"375","ENSMUSG00000029106.14","Add1","ENSMUSG00000099082.1","Mir7036b","ENSMUSG00000029106","Add1 (Mir7036b)"
"376","ENSMUSG00000029101.16","Rgs12","ENSMUSG00000093097.1","Mir3097","ENSMUSG00000029101","Rgs12 (Mir3097)"
"377","ENSMUSG00000031558.15","Slit2","ENSMUSG00000065603.1","Mir218-1","ENSMUSG00000031558","Slit2 (Mir218-1)"
"378","ENSMUSG00000105020.1","Gm7205","ENSMUSG00000099124.1","Mir8117","ENSMUSG00000105020","Gm7205 (Mir8117)"
"379","ENSMUSG00000029185.14","Fam114a1","ENSMUSG00000077042.2","Mir574","ENSMUSG00000029185","Fam114a1 (Mir574)"
"380","ENSMUSG00000037685.15","Atp8a1","ENSMUSG00000094435.1","Gm23617","ENSMUSG00000037685","Atp8a1 (Gm23617)"
"381","ENSMUSG00000029231.15","Pdgfra","ENSMUSG00000099060.1","Mir7025","ENSMUSG00000029231","Pdgfra (Mir7025)"
"382","ENSMUSG00000029249.15","Rest","ENSMUSG00000093061.1","Mir5098","ENSMUSG00000029249","Rest (Mir5098)"
"383","ENSMUSG00000037605.16","Adgrl3","ENSMUSG00000106611.1","Gm22048","ENSMUSG00000037605","Adgrl3 (Gm22048)"
"384","ENSMUSG00000035310.15","Lin54","ENSMUSG00000088742.1","Gm23222","ENSMUSG00000035310","Lin54 (Gm23222)"
"385","ENSMUSG00000029310.13","Nudt9","ENSMUSG00000093690.1","Mir5619","ENSMUSG00000029310","Nudt9 (Mir5619)"
"386","ENSMUSG00000043410.16","Hfm1","ENSMUSG00000098703.1","Gm27527","ENSMUSG00000043410","Hfm1 (Gm27527)"
"387","ENSMUSG00000029505.17","Ep400","ENSMUSG00000099284.1","Mir7026","ENSMUSG00000029505","Ep400 (Mir7026)"
